,Регион отбытия,Регион прибытия,Год,Всего мигрантов в возрасте 14 лет и более,Военно-служащие,Руководители,"Специалисты высшего уровня квалификации, всего",Специалисты ВУК в области науки и техники,Специалисты ВУК в области здраво-охранения,Специалисты ВУК в области образования,Специалисты ВУК в сфере бизнеса и администрирования,Специалисты ВУК по инфор-мационно-коммуникационным технологиям (ИКТ),"Специалисты ВУК в области права, гуманитарных областей и культуры",Специалисты среднего уровня квалификации всего,В области науки и техники,Средний медицинский персонал здравоохранения,Специалисты (ср.квал) по экономической и административной деятельности,"Специалитсы (ср. квал) в области правовой, социальной работы, культуры, спорта и родственных занятий",Специалитсы (ср. квал) в области информационно-коммуникационным технологиям (ИКТ),"Служащие, занятые подготовкой и оформлением документации, учетом и обслуживанием, всего",Служащие общего профиля и обслуживающие офисную технику,Служащие сферы обслуживания населения,Служащие в сфере обработки числовой информации и учета материальных ценностей,"Работники сферы обслуживания и торговли, охраны граждан и собственности","Квалифицированные работники сельского и лесного хозяйства, рыбоводства и рыболовства","Квалифицированные рабочие промышленности, строительства, транспорта и рабочие родственных занятий","Операторы производственных установок и машин, сборщики и водители",Неквалифицированные рабочие,Не указано
964,Владимирская область,Орловская область,2019,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,1,15
965,Воронежская область,Орловская область,2019,184,2,0,6,1,1,1,1,0,1,2,0,0,1,0,0,5,1,2,0,4,3,2,0,1,19
966,Ивановская область,Орловская область,2019,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,2
967,Калужская область,Орловская область,2019,84,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,2,0,2,0,0,0,0,1,0,33
968,Костромская область,Орловская область,2019,13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
969,Курская область,Орловская область,2019,418,2,5,30,1,4,10,3,0,5,13,0,5,2,2,1,7,0,4,0,12,2,5,0,2,180
970,Липецкая область,Орловская область,2019,142,3,1,7,0,0,4,2,0,1,7,0,0,1,0,2,2,0,1,0,2,0,3,0,2,50
971,Московская область,Орловская область,2019,816,7,9,35,8,5,6,4,0,2,21,3,1,1,2,1,11,1,4,0,14,2,10,1,4,105
972,Орловская область,Орловская область,2019,7765,83,153,627,41,63,149,84,16,48,528,43,118,43,78,35,370,24,165,24,363,82,305,66,173,3021
973,Рязанская область,Орловская область,2019,46,1,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7
974,Смоленская область,Орловская область,2019,66,0,2,4,0,2,2,0,0,0,3,0,1,0,1,0,4,1,0,0,0,0,1,0,1,24
975,Тамбовская область,Орловская область,2019,28,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,9
976,Тверская область,Орловская область,2019,29,0,0,2,0,0,1,0,0,0,2,0,1,0,0,0,4,0,1,1,0,0,1,0,1,11
977,Тульская область,Орловская область,2019,265,1,6,4,0,2,0,0,0,1,9,0,3,1,1,1,6,0,3,1,6,0,6,2,2,107
978,Ярославская область,Орловская область,2019,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
979,г.Москва,Орловская область,2019,1461,6,6,19,1,0,4,1,1,1,10,1,2,3,0,1,12,1,6,0,14,3,6,3,0,173
980,Северо-Западный федеральный округ,Орловская область,2019,617,7,8,20,2,1,4,2,1,1,16,0,2,3,3,1,10,3,3,0,13,1,9,2,3,135
981,Республика Карелия,Орловская область,2019,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
982,Республика Коми,Орловская область,2019,49,0,1,5,1,1,1,1,0,0,5,0,0,0,1,1,1,0,1,0,4,0,1,0,1,23
983,Архангельская область,Орловская область,2019,39,2,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,15
984,Hенецкий авт.округ,Орловская область,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,Архангельская область без Ненецкого АО,Орловская область,2019,38,2,1,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,15
986,Вологодская область,Орловская область,2019,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
987,Калининградская область,Орловская область,2019,29,1,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,1,0,0,0,0,0,1,0,7
988,Ленинградская область,Орловская область,2019,59,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,10
989,Мурманская область,Орловская область,2019,89,1,4,4,0,0,1,0,0,0,4,0,0,1,1,0,8,2,2,0,1,0,4,1,1,23
990,Новгородская область,Орловская область,2019,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8
991,Псковская область,Орловская область,2019,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
992,г.Санкт-Петербург,Орловская область,2019,285,1,1,6,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,27
993,Южный федеральный округ,Орловская область,2019,316,6,9,18,2,4,5,0,1,2,16,0,3,1,2,0,8,0,5,0,9,2,7,2,10,88
994,Республика Адыгея,Орловская область,2019,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
995,Республика Калмыкия,Орловская область,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
996,Республика Крым,Орловская область,2019,40,1,2,3,1,1,0,0,0,0,3,0,0,0,1,0,3,0,2,0,3,0,2,0,3,8
997,Краснодарский край,Орловская область,2019,129,3,0,5,1,1,1,0,1,0,6,0,2,1,0,0,1,0,0,0,1,0,1,0,1,32
998,Астраханская область,Орловская область,2019,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6
999,Волгоградская область,Орловская область,2019,36,0,1,4,0,1,1,0,0,2,3,0,0,0,1,0,2,0,1,0,1,1,2,2,2,10
1000,Ростовская область,Орловская область,2019,70,1,4,6,0,1,3,0,0,0,4,0,1,0,0,0,2,0,2,0,1,1,1,0,4,27
1001,г.Севастополь,Орловская область,2019,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
1002,Северо-Кавказский федеральный округ,Орловская область,2019,192,5,4,12,1,4,2,1,0,2,5,0,2,0,1,0,4,0,3,0,4,0,5,1,5,99
1003,Республика Дагестан,Орловская область,2019,61,1,1,4,1,2,0,0,0,0,3,0,1,0,1,0,3,0,2,0,1,0,1,0,2,43
1004,Республика Ингушетия,Орловская область,2019,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1005,Кабардино-Балкарская Республика,Орловская область,2019,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1006,Карачаево-Черкесская Республика,Орловская область,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,Республика Северная Осетия- Алания,Орловская область,2019,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1008,Чеченская Республика,Орловская область,2019,61,1,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,3,1,1,39
1009,Ставропольский край,Орловская область,2019,52,3,0,6,0,2,2,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,10
1010,Приволжский федеральный округ,Орловская область,2019,251,6,2,6,0,0,0,0,0,2,9,1,1,2,3,0,7,0,3,1,7,3,3,2,4,97
1011,Республика Башкортостан,Орловская область,2019,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10
1012,Республика Марий Эл,Орловская область,2019,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14
1013,Республика Мордовия,Орловская область,2019,15,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
1014,Республика Татарстан(Татарстан),Орловская область,2019,23,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,2,0,1,1,0,3
1015,Удмуртская Республика,Орловская область,2019,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3
1016,Чувашская Республика(Чувашия),Орловская область,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
1017,Пермский край,Орловская область,2019,15,1,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,6
1018,Кировская область,Орловская область,2019,14,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,7
1019,Hижегородская область,Орловская область,2019,35,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
1020,Оренбургская область,Орловская область,2019,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11
1021,Пензенская область,Орловская область,2019,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
1022,Самарская область,Орловская область,2019,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,5
1023,Саратовская область,Орловская область,2019,44,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,13
1024,Ульяновская область,Орловская область,2019,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
1025,Уральский федеральный округ,Орловская область,2019,139,1,3,8,1,0,1,1,0,1,9,1,1,0,2,1,1,0,1,0,7,0,7,0,1,53
1026,Курганская область,Орловская область,2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1027,Свердловская область,Орловская область,2019,43,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,1,0,0,9
1028,Тюменская область,Орловская область,2019,78,1,2,6,1,0,1,1,0,1,6,1,1,0,1,1,1,0,1,0,3,0,6,0,1,34
1029,Ханты-Мансийский автономный округ,Орловская область,2019,33,0,1,2,1,0,1,0,0,0,5,1,1,0,1,0,0,0,0,0,1,0,3,0,0,15
1030,Ямало-Hенецкий автономный округ,Орловская область,2019,43,1,1,3,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,2,0,2,0,1,19
1031,Тюменская область без авт. округов,Орловская область,2019,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1032,Челябинская область,Орловская область,2019,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
1033,Сибирский федеральный округ,Орловская область,2019,154,0,6,5,0,1,1,0,0,1,12,1,3,1,3,0,5,0,3,0,11,1,4,0,3,66
1034,Республика Алтай,Орловская область,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,Республика Тыва,Орловская область,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1036,Республика Хакасия,Орловская область,2019,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1037,Алтайский край,Орловская область,2019,14,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,7
1038,Красноярский край,Орловская область,2019,42,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,1,0,1,16
1039,Иркутская область,Орловская область,2019,18,0,2,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,1,0,0,4
1040,Кемеровская область,Орловская область,2019,24,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,2,0,2,0,2,1,0,0,0,11
1041,Новосибирская область,Орловская область,2019,22,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,13
1042,Омская область,Орловская область,2019,20,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,2,0,0,0,0,10
1043,Томская область,Орловская область,2019,11,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2
1044,Дальневосточный федеральный округ,Орловская область,2019,256,8,4,9,0,0,1,2,0,0,28,3,1,4,3,2,5,0,4,1,9,2,8,0,4,109
1045,Республика Бурятия,Орловская область,2019,9,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,3
1046,Республика Саха (Якутия),Орловская область,2019,118,0,1,6,0,0,1,1,0,0,21,3,1,3,1,1,3,0,2,1,6,0,7,0,3,50
1047,Забайкальский край,Орловская область,2019,8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
1048,Камчатский край,Орловская область,2019,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1049,Приморский край,Орловская область,2019,27,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,8
1050,Хабаровский край,Орловская область,2019,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1051,Амурская область,Орловская область,2019,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
1052,Магаданская область,Орловская область,2019,10,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
1053,Сахалинская область,Орловская область,2019,27,1,1,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,5
1054,Еврейская автономная область,Орловская область,2019,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1055,Чукотский авт.округ,Орловская область,2019,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1056,Российская Федерация,Рязанская область,2019,26349,523,408,2319,166,216,326,258,112,169,2624,144,302,165,168,115,838,53,426,30,1053,196,776,173,309,9435
1057,Центральный федеральный округ,Рязанская область,2019,21801,327,354,1926,137,175,274,215,95,138,2140,122,230,132,139,93,677,49,342,27,862,162,629,140,242,7588
1058,Белгородская область,Рязанская область,2019,78,5,0,4,0,0,1,0,1,1,10,2,1,1,0,0,5,0,3,0,2,0,4,0,0,31
1059,Брянская область,Рязанская область,2019,60,5,1,5,2,0,0,1,0,1,4,0,0,1,0,0,4,2,1,0,3,0,2,2,0,28
1060,Владимирская область,Рязанская область,2019,218,4,0,17,1,3,3,0,0,1,18,0,3,2,2,0,7,0,4,2,9,3,5,1,1,62
1061,Воронежская область,Рязанская область,2019,176,13,3,13,1,2,3,0,0,0,15,2,2,2,0,0,6,0,3,0,8,2,10,2,6,58
1062,Ивановская область,Рязанская область,2019,106,13,1,8,0,1,1,1,1,0,10,0,0,2,3,0,0,0,0,0,2,0,9,0,0,43
1063,Калужская область,Рязанская область,2019,101,10,0,9,0,1,2,1,0,1,4,0,0,0,0,0,3,0,1,0,2,0,4,1,1,41
1064,Костромская область,Рязанская область,2019,56,6,3,7,1,0,0,0,0,2,3,0,0,0,1,0,1,1,0,0,3,0,1,0,2,23
1065,Курская область,Рязанская область,2019,55,3,0,7,1,0,0,1,3,0,12,3,0,1,1,0,0,0,0,0,2,0,3,0,0,22
1066,Липецкая область,Рязанская область,2019,188,12,2,15,1,4,2,1,0,0,21,3,2,0,1,0,5,0,3,0,10,4,5,2,2,66
1067,Московская область,Рязанская область,2019,2656,39,44,149,9,14,21,20,3,8,161,8,13,9,15,8,43,1,21,0,53,7,44,9,18,902
1068,Орловская область,Рязанская область,2019,46,1,5,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,5,1,0,1,1,21
1069,Рязанская область,Рязанская область,2019,13832,147,247,1492,105,125,214,169,78,108,1663,90,186,101,95,77,525,38,269,21,675,127,475,110,173,5112
1070,Смоленская область,Рязанская область,2019,60,6,0,4,0,2,0,1,0,0,6,0,2,0,0,0,2,1,1,0,3,1,3,0,1,17
1071,Тамбовская область,Рязанская область,2019,340,13,4,29,1,3,5,0,0,4,39,6,6,4,3,2,13,1,6,3,7,3,8,1,7,141
1072,Тверская область,Рязанская область,2019,101,4,3,5,0,2,1,1,0,0,9,0,0,0,1,0,4,0,2,0,7,1,2,0,6,47
1073,Тульская область,Рязанская область,2019,353,16,8,18,1,5,1,2,0,1,23,1,3,2,4,2,8,0,4,1,12,3,10,1,3,162
1074,Ярославская область,Рязанская область,2019,63,3,2,4,0,1,0,0,0,1,7,1,0,0,2,0,1,0,0,0,4,0,1,0,1,18
1075,г.Москва,Рязанская область,2019,3312,27,31,140,14,12,20,17,9,10,132,6,12,7,10,3,50,5,24,0,55,10,43,10,20,794
1076,Северо-Западный федеральный округ,Рязанская область,2019,1001,24,12,74,6,8,9,4,3,5,91,4,16,6,4,3,29,1,13,3,38,5,33,4,5,353
1077,Республика Карелия,Рязанская область,2019,26,1,0,2,0,1,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,1,0,0,8
1078,Республика Коми,Рязанская область,2019,169,1,6,15,2,1,2,1,0,1,22,1,3,2,0,0,6,0,3,0,10,0,6,1,1,86
1079,Архангельская область,Рязанская область,2019,101,2,2,10,0,0,2,1,0,2,7,2,1,0,0,0,4,0,1,1,7,2,8,1,2,43
1080,Hенецкий авт.округ,Рязанская область,2019,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
1081,Архангельская область без Ненецкого АО,Рязанская область,2019,96,2,2,10,0,0,2,1,0,2,6,2,1,0,0,0,3,0,1,1,7,2,8,1,2,41
1082,Вологодская область,Рязанская область,2019,54,0,0,5,2,1,0,0,0,0,7,1,2,1,0,0,0,0,0,0,3,1,5,1,0,26
1083,Калининградская область,Рязанская область,2019,48,2,0,4,0,1,0,0,0,0,7,0,2,1,0,1,3,0,1,1,1,0,1,0,0,16
1084,Ленинградская область,Рязанская область,2019,86,4,0,4,1,0,0,0,1,0,8,0,2,0,0,0,1,0,1,0,3,1,1,0,0,27
1085,Мурманская область,Рязанская область,2019,189,6,2,14,1,0,0,1,1,0,16,0,3,1,1,1,7,1,4,1,9,0,5,0,0,82
1086,Новгородская область,Рязанская область,2019,30,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,1,1,0,11
1087,Псковская область,Рязанская область,2019,53,5,0,5,0,1,1,0,0,1,5,0,0,0,1,0,4,0,0,0,0,0,1,0,1,15
1088,г.Санкт-Петербург,Рязанская область,2019,245,2,2,14,0,3,3,1,1,0,12,0,3,0,2,1,3,0,2,0,5,0,4,0,1,39
1089,Южный федеральный округ,Рязанская область,2019,714,34,10,45,5,6,4,6,3,4,72,3,9,9,5,3,26,2,9,0,25,5,17,5,13,295
1090,Республика Адыгея,Рязанская область,2019,16,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,6
1091,Республика Калмыкия,Рязанская область,2019,14,0,0,1,0,0,0,0,0,1,3,0,1,0,0,1,2,1,0,0,0,0,0,0,0,7
1092,Республика Крым,Рязанская область,2019,57,5,0,4,0,0,1,0,1,0,7,0,2,1,1,0,2,0,1,0,2,1,1,0,0,25
1093,Краснодарский край,Рязанская область,2019,259,12,3,17,2,4,1,2,2,2,24,2,3,5,1,0,9,0,3,0,2,1,6,2,4,91
1094,Астраханская область,Рязанская область,2019,58,4,0,6,3,2,0,1,0,0,3,0,1,0,1,0,0,0,0,0,2,0,2,0,2,32
1095,Волгоградская область,Рязанская область,2019,133,4,2,5,0,0,1,1,0,0,22,1,2,2,1,0,3,1,0,0,10,2,2,1,1,60
1096,Ростовская область,Рязанская область,2019,150,9,4,9,0,0,1,2,0,0,11,0,0,1,1,2,9,0,5,0,5,0,6,2,4,62
1097,г.Севастополь,Рязанская область,2019,27,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,1,12
1098,Северо-Кавказский федеральный округ,Рязанская область,2019,360,20,1,25,1,1,4,5,0,1,40,1,8,2,3,3,12,0,7,0,15,2,11,3,7,181
1099,Республика Дагестан,Рязанская область,2019,125,10,1,7,1,0,2,1,0,0,21,0,5,1,3,1,5,0,3,0,5,1,1,1,4,63
1100,Республика Ингушетия,Рязанская область,2019,13,0,0,4,0,0,1,3,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,5
1101,Кабардино-Балкарская Республика,Рязанская область,2019,20,1,0,2,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,2,0,1,1,0,9
1102,Карачаево-Черкесская Республика,Рязанская область,2019,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1103,Республика Северная Осетия- Алания,Рязанская область,2019,31,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,16
1104,Чеченская Республика,Рязанская область,2019,31,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,1,2,0,0,20
1105,Ставропольский край,Рязанская область,2019,136,8,0,9,0,1,1,0,0,1,8,0,2,0,0,0,5,0,2,0,5,0,6,1,3,66
1106,Приволжский федеральный округ,Рязанская область,2019,1219,56,16,118,8,12,21,14,7,8,129,5,19,5,5,6,43,0,25,0,53,11,41,9,23,503
1107,Республика Башкортостан,Рязанская область,2019,95,5,0,9,1,0,2,1,2,0,8,0,2,1,0,0,1,0,1,0,4,2,1,1,5,45
1108,Республика Марий Эл,Рязанская область,2019,21,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,1,9
1109,Республика Мордовия,Рязанская область,2019,179,2,2,21,2,3,4,1,0,2,22,1,4,0,0,3,4,0,3,0,4,0,5,2,1,81
1110,Республика Татарстан(Татарстан),Рязанская область,2019,68,3,2,5,0,0,1,0,0,1,5,0,1,1,0,0,2,0,1,0,4,0,3,0,0,25
1111,Удмуртская Республика,Рязанская область,2019,26,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,2,0,1,2,0,0,1,13
1112,Чувашская Республика(Чувашия),Рязанская область,2019,27,0,0,3,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,2,0,1,0,1,9
1113,Пермский край,Рязанская область,2019,63,6,0,5,0,0,0,0,1,0,7,1,0,0,0,0,5,0,2,0,4,0,1,0,1,31
1114,Кировская область,Рязанская область,2019,48,2,1,10,0,1,0,2,2,1,7,0,2,0,0,0,0,0,0,0,3,0,1,0,0,19
1115,Hижегородская область,Рязанская область,2019,155,9,1,12,1,1,4,2,0,1,14,0,1,0,0,0,10,0,3,0,6,0,4,3,0,53
1116,Оренбургская область,Рязанская область,2019,91,3,2,9,0,1,2,1,1,1,19,1,2,1,1,1,3,0,2,0,7,0,7,0,4,35
1117,Пензенская область,Рязанская область,2019,111,2,3,9,2,3,1,1,0,0,9,1,2,0,0,1,2,0,0,0,4,0,5,0,3,45
1118,Самарская область,Рязанская область,2019,112,2,0,9,1,0,2,2,0,1,11,1,1,0,1,1,2,0,1,0,6,2,6,0,3,36
1119,Саратовская область,Рязанская область,2019,148,11,5,13,0,2,2,3,0,0,10,0,4,1,1,0,6,0,6,0,5,1,5,1,3,72
1120,Ульяновская область,Рязанская область,2019,75,7,0,11,1,1,3,0,1,1,7,0,0,1,0,0,5,0,4,0,2,1,2,1,0,30
1121,Уральский федеральный округ,Рязанская область,2019,382,15,6,36,3,3,2,3,1,2,44,3,7,4,4,1,10,0,6,0,25,1,20,3,7,152
1122,Курганская область,Рязанская область,2019,19,0,1,3,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,2,0,1,5
1123,Свердловская область,Рязанская область,2019,89,4,1,8,0,1,1,2,0,0,7,1,0,1,1,0,2,0,2,0,6,0,4,0,3,39
1124,Тюменская область,Рязанская область,2019,186,5,3,19,2,0,1,1,1,2,25,1,6,1,2,0,3,0,2,0,12,1,7,3,0,76
1125,Ханты-Мансийский автономный округ,Рязанская область,2019,87,1,2,7,1,0,1,1,0,0,13,0,2,1,1,0,3,0,2,0,6,0,4,3,0,40
1126,Ямало-Hенецкий автономный округ,Рязанская область,2019,74,3,0,11,1,0,0,0,1,1,10,1,2,0,1,0,0,0,0,0,4,0,1,0,0,24
1127,Тюменская область без авт. округов,Рязанская область,2019,25,1,1,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,2,1,2,0,0,12
1128,Челябинская область,Рязанская область,2019,88,6,1,6,1,1,0,0,0,0,10,1,1,2,1,1,4,0,1,0,5,0,7,0,3,32
1129,Сибирский федеральный округ,Рязанская область,2019,446,25,5,46,3,4,7,6,1,6,56,2,8,2,5,3,25,1,14,0,21,4,13,3,9,179
1130,Республика Алтай,Рязанская область,2019,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1131,Республика Тыва,Рязанская область,2019,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
1132,Республика Хакасия,Рязанская область,2019,13,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,7
1133,Алтайский край,Рязанская область,2019,57,8,0,8,0,0,0,1,1,4,6,0,2,0,1,0,4,0,1,0,5,0,0,0,1,20
1134,Красноярский край,Рязанская область,2019,107,3,0,12,2,0,4,1,0,1,12,0,1,0,0,0,3,0,3,0,6,1,6,0,2,45
1135,Иркутская область,Рязанская область,2019,68,7,0,4,0,1,0,1,0,0,10,0,2,0,1,1,2,1,1,0,2,1,1,1,1,26
1136,Кемеровская область,Рязанская область,2019,69,1,2,10,0,1,0,1,0,1,9,0,0,2,0,1,8,0,8,0,3,0,2,2,3,28
1137,Новосибирская область,Рязанская область,2019,36,0,0,4,0,1,1,0,0,0,4,1,0,0,1,0,3,0,0,0,2,1,1,0,0,13
1138,Омская область,Рязанская область,2019,67,5,1,6,1,1,1,1,0,0,11,1,2,0,1,1,3,0,1,0,1,1,1,0,1,29
1139,Томская область,Рязанская область,2019,19,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,4
1140,Дальневосточный федеральный округ,Рязанская область,2019,426,22,4,49,3,7,5,5,2,5,52,4,5,5,3,3,16,0,10,0,14,6,12,6,3,184
1141,Республика Бурятия,Рязанская область,2019,31,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,3,2,0,0,0,15
1142,Республика Саха (Якутия),Рязанская область,2019,61,2,0,5,1,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,3,0,3,1,2,30
1143,Забайкальский край,Рязанская область,2019,42,2,0,5,0,0,1,1,1,0,4,1,0,0,2,0,3,0,3,0,4,1,0,1,0,20
1144,Камчатский край,Рязанская область,2019,33,4,0,2,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,18
1145,Приморский край,Рязанская область,2019,69,1,1,7,1,3,2,0,0,0,9,1,0,0,0,0,2,0,1,0,1,1,4,1,1,27
1146,Хабаровский край,Рязанская область,2019,57,4,1,7,0,0,1,0,0,0,11,0,3,2,0,3,3,0,3,0,0,0,0,1,0,23
